Timestamp,Type,Company,Role,Monthly/Annual Salary (Specify if not SGD),Total Stocks (Specify if not SGD),Sign On (Specify if not SGD),Annual Total Compensation (Specify if not SGD),Target Annual Bonus,Extra Information
11/10/2021 16:49:03,Internship,Credit Suisse,Software Engineer,7500,,,,,
11/10/2021 16:49:21,Internship,JPMorgan,Software Engineer,5833,,,,,
11/10/2021 16:49:33,Internship,Open Government Products,Software Engineer,3000,,,,,
11/10/2021 16:52:07,Internship,F5 Networks,Software Engineer,1500,,,,,
11/10/2021 17:04:53,Internship,Autodesk,Software Engineer,1800,,,,,
11/10/2021 17:06:12,Internship,JPMorgan,Software Engineer,5833,,,,,Doing well for code most likely leads to an offer
11/10/2021 17:28:32,Internship,ByteDance,Software Engineer,5000,,,,,
11/10/2021 17:30:15,Internship,Govtech ,Product Management ,2000,,,,,
11/10/2021 17:30:27,Internship,Foodpanda,Data Analyst,1000,,,,,
11/10/2021 19:17:59,Internship,Facebook,Software Engineer,6000,,,,,Intern housing/housing allowance provided
11/10/2021 20:00:10,Internship,Infineon,Data Scientist,1500,,,,,
11/10/2021 20:25:43,Internship,Accenture,Software Engineer,1500,,,,,
11/10/2021 20:38:37,Internship,DSO National Laboratories,Software Engineer,1800,,,,,
11/10/2021 21:24:59,Internship,ByteDance,Software Engineer,4000,,,,,
11/10/2021 21:43:40,Fresh Grad,Goldman Sachs,Software Engineer,5833,0,15000,70000,"Not sure, HR wasnt transparent. Some got 0 last year.","Good private benefits, dental and healthcare covered"
11/10/2021 22:06:39,Internship,Indeed,Software Engineer,5000,,,,,
11/10/2021 22:28:03,Internship,Micron,Network Engineer,1500,,,,,
11/10/2021 22:28:57,Internship,Sprinklr,Software Engineer,6000,,,,,
11/11/2021 0:09:03,Internship,Accenture,Project Management,1500,,,,,
11/11/2021 3:14:21,Internship,Accenture,Software Engineer,1500,,,,,
11/11/2021 3:14:37,Internship,JPMorgan,Software Engineer,5883,,,,,
11/11/2021 3:15:07,Internship,CSIT,Cybersecurity,1800,,,,,
11/11/2021 6:14:21,Internship,Squarepoint Capital,Software Engineer,7083,,,,,
11/11/2021 10:04:25,Internship,ByteDance,Backend Intern,3600,,,,,
11/11/2021 11:10:50,Fresh Grad,DSTA,Software Engineer,5000 + 400 allowance monthly,0,0,,3.5 months bonus,
11/11/2021 11:21:20,Fresh Grad,Bank of America,Software Engineer,5100,,,61200,0,
11/11/2021 11:34:13,Fresh Grad,Motional,Software Engineer,8500,20000,0,130000,8%,Unlimited personal time off (ayy) Permanent flexible working hours 
11/11/2021 11:34:57,Fresh Grad,JP Morgan,Software Engineer,5416,0,0,65000,,
11/11/2021 12:00:59,Internship,Sea Group,Software Engineer,2000,,,,,
11/11/2021 12:01:55,Internship,TikTok,Software Engineer,4830 (230/day),,,,,
11/11/2021 12:42:38,Internship,Alstom,Software Engineer,1500,,,,,
11/11/2021 13:11:10,Fresh Grad,Alphalab Capital,Software Engineer,6500,,,150-300k,1.5 - 2 year bonus,Normal base salary but very high bonus
11/11/2021 14:41:41,Internship,HTX,Cybersecurity,1500,,,,,Lots of red tape and clearances 
11/11/2021 14:41:43,Fresh Grad,Squarepoint Capital,Software Engineer,7083,,10000 first year + 10000 second year,,,12000 Relocation bonus
11/11/2021 14:44:49,Internship,Grab,Software Engineer,2500,,,,,
11/11/2021 15:11:37,Fresh Grad,Institute for Infocomm Research (I2R),Research Engineer,3700,0,0,55500,3 months,
11/11/2021 15:12:06,Internship,I2R,Software Engineer,1200,,,,,
11/11/2021 15:15:30,Fresh Grad,ByteDance,Software Engineer,7000,,,,,
11/11/2021 15:17:08,Fresh Grad,Google,Software Engineer,7166,70000 USD,,122610,15%,
11/11/2021 15:53:57,Fresh Grad,Shopee,Software Engineer,5800,None,None,70000,2 months,
11/11/2021 15:54:54,Fresh Grad,ByteDance,Software Engineer,6800,None,None,81600,1.5,
11/11/2021 16:16:02,Fresh Grad,Google,Software Engineer,10000,145000,12500,155000,3 months bonus,
11/11/2021 17:41:22,Internship,StashAway,Software Engineer,1000,,,,,
11/11/2021 20:01:35,Internship,CSIT,Software Engineer,800,,,,,
11/11/2021 20:01:54,Internship,UCARS,Software Engineer,1000,,,,,
11/11/2021 20:22:50,Fresh Grad,Ubisoft Singapore,Junior Engine Programmer,3800,0,"0, Won't happen, dream on.","45,600","0, Depends on shipped AAA game or company is profitable, but generally still close to peanuts.","AAA game company with AAA budget, but compensation sucks for demanding and specialized skillsets. Avoid this place, and consider alternatives such as Riot Games."
11/11/2021 20:23:17,Internship,Autodesk,Software Engineer,2500,,,,,
11/11/2021 20:39:56,Internship,Ubisoft Singapore,Gameplay Programming Intern,1000,0,0,0,0,Not guaranteed to get a full time offer. Heard HR will lowball (using COVID19 as excuse)
11/11/2021 20:47:31,Fresh Grad,NCS,Software Engineer,5200,,,,,
11/11/2021 20:49:39,Fresh Grad,Shopee,Software Engineer,6200,49000/4,NA,,2 months,
11/11/2021 20:51:06,Fresh Grad,NCS,Software Engineer,4200,Nil,Nil,4200 * 12 + 600,2 month,about 600 flexi benefit and less than 5% annual salary grow
11/11/2021 21:11:50,Internship,Bank Of America,Software Engineer,3300,,,,,GMOT
11/11/2021 21:14:47,Fresh Grad,Jane Street,Software Engineer,30000,,,,,
11/11/2021 21:28:37,Internship,DSO,Software Engineer,1800,,,,,
11/11/2021 21:34:40,Internship,Bank of Singapore,Software Engineer,1300,,,,,
11/11/2021 21:37:52,Fresh Grad,Ubisoft Singapore,Junior Data Scientist,5000,,,,no 13th month,nus grad
11/11/2021 22:05:16,Internship,AMD,Software Engineer,1500,,,,,
11/11/2021 23:04:03,Fresh Grad,NCS,Software Engineer,6000,0,0,,2,
11/11/2021 23:10:07,Internship,Jane Street Capital,Software Engineer,"16,640 USD",-,"10,000 USD",-,-,Corporate housing in HK
11/11/2021 23:10:56,Fresh Grad,Accenture,Software Engineer,5750,,1000,,2.90%,Words of affirmation and commendation upon promotion.
11/12/2021 0:16:38,Internship,Citi,Software Engineer,3000,,,,,"During the internship, there was plenty of networking opportunities with other new grad swe's (1 - 2 years) & the leads from different departments / business functions. Literally had these every other day"
11/12/2021 1:16:53,Fresh Grad,JPMorgan,Software Engineer,5667,0,0,68000,1mth,New joiners earning more than their class seniors with 1 or 2 YoE. Joke.
11/12/2021 1:39:35,Fresh Grad,Sea Labs,Software Engineer,7000,28000,0,112000,(Included in stocks),
11/12/2021 1:43:01,Internship,PayPal,InfoSec Intern,2000,,,,,
11/12/2021 7:31:33,Fresh Grad,DSO,Software Engineer,5000,,,,1+3,1% annual increment
11/12/2021 8:42:10,Fresh Grad,Dell,Data Engineer,5417,,,,5% of annual minimum. Highest HR ever saw was 7%,"$750 flexi benefits. $350 per family member. Not the best but decent welfare in overall, includes dental. Super flexible working hours"
11/12/2021 8:51:19,Fresh Grad,DSTA,Software Engineer,5000,0,0,80000,"4,800 engagement bonus (400 per month, paid out monthly), 1 month AWS, 2-3 months misc (mid year bonus, performance bonus etc)",Less than 5% annual salary grow
11/12/2021 13:23:13,Fresh Grad,Open Government Products,Software Engineer,7770,N/A,15540,116550,3 months bonus,"As long as at least performing at level, bonus is basically guaranteed at 3 months. Additional bonus for outperforming"
11/12/2021 13:57:09,Internship,GIC,Data Analyst,2500,,,,,
11/12/2021 13:57:39,Internship,Micron,Data science Intern,1500,,,,,
11/12/2021 14:34:03,Fresh Grad,DBS,Software Engineer,5000,,,,3 months,
11/12/2021 16:53:37,Internship,DBS,Software Engineer,1500,,,,,
11/12/2021 16:54:46,Internship,EY,Cybersecurity,800,,,,,
11/12/2021 18:48:08,Fresh Grad,NCS,Software Engineer,5678,,,,3 months,2.5years since graduate
11/12/2021 21:46:20,Fresh Grad,Ubisoft Singapore,Gameplay Programmer (Junior),5000,,,,no official AWS,"2% average increment. but is worth if you wanna ship games while WFH, netflix and chill half the day. no crunch time."
11/12/2021 22:24:12,Fresh Grad,Acronis,Junior Software Engineer,4600,,,,AWS,
11/13/2021 2:28:12,Internship,Autodesk,Software Engineer,1800,,,,,
11/13/2021 15:40:34,Internship,DBS,Software Engineer,1500,,,,,You would probably be better off doing personal projects than interning here.
11/14/2021 10:28:04,Internship,Apple,Software Engineer,1550,,,,,"2 years ago. Seems like they are slowly increasing their salary. 25% off Apple products, free speakers/other goodies, subsidized lunch (they have a very nice canteen) and transport. Brilliant team (especially the devs in the US), independent work, I had lots of time to pursue personal projects and hackathons while also learning from very smart people this internship so I felt that it was worth it even though the salary was below market rate at the time"
11/14/2021 20:28:44,Internship,Seagate Technology,Software Development,1300,,,,,
11/15/2021 11:36:26,Internship,Acronis,Software Engineer,1500,,,,,
11/15/2021 14:37:23,Fresh Grad,JPMorgan,Software Engineer,5833,0,0,75000,Company doesn't like to talk about bonus,"Interns are earning as much as fresh grad fulltimers. Most likely, fulltime pay is only slightly higher (~5k/yr) higher than your intern pay."
11/15/2021 15:04:23,Internship,Agoda,Software Engineer,2000,,,,,
11/15/2021 17:15:20,Fresh Grad,Stripe,Software Engineer,8333,"30,000 USD per year","30,000","170,000",10%,TC includes sign on bonus
11/15/2021 22:33:16,Fresh Grad,Indeed,Software Engineer,5833,0,5000,75000,,
11/15/2021 22:34:15,Internship,Indeed,Software Engineer,2000,,,,,Free lunch if in office
11/15/2021 22:36:14,Fresh Grad,Indeed,Software Engineer,5417,0,5000,70000,,
11/15/2021 22:37:56,Fresh Grad,Indeed,Software Engineer,5417,5000,,70000,10%,Free lunch in office
11/16/2021 12:41:44,Internship,Credit Suisse,Software Engineer,7500,,,,,Fresh grad is expected to be the same or slightly higher
11/16/2021 14:49:34,Fresh Grad,Goldman Sachs,Software Engineer,6250,,16000,,HR was not willing to give any numbers. Some seniors said he/she received 1 month of performance bonus.,"Non-Singaporean/PR will receive ""CPF"" in cash capped at 1020/month. Non-negotiable"
11/16/2021 19:24:18,Fresh Grad,3forge,Software Engineer,8333,,,,,
11/17/2021 14:18:59,Internship,IMDA,Data Science Intern,1500,,,,,
11/17/2021 14:19:30,Internship,DSO,Machine Learning Intern,1800,,,,,Year 1 summer
11/17/2021 14:20:25,Internship,EY,Software Engineer,800,,,,,Year 2 summer
11/17/2021 18:38:01,Internship,Sea Labs,Software Engineer,4200,,,,,
11/17/2021 21:55:24,Fresh Grad,Lazada,Software Engineer,5000,0,,67500,1.5 months bonus,"Non-negotiable, other benefits e.g. insurance, claims same as competitor Shopee"
11/17/2021 23:43:34,Internship,Credit Suisse,Software Engineer,7500,,,,,
11/17/2021 23:43:50,Internship,Visa,Software Engineer,2200,,,,,
11/17/2021 23:44:06,Internship,Morgan Stanley,Software Engineer,5000,,,,,
11/18/2021 1:43:37,Fresh Grad,Ubisoft Singapore,Gameplay Programmer,5000,,,,no bonus,around ~500 flexi
11/18/2021 10:43:07,Fresh Grad,Shopee,Software Engineer,7200,77000,10000,120000,2 months,Shopee matched the competing offer from Shopback
11/18/2021 14:24:01,Internship,Grab,Software Engineer,2500,,,,,
11/18/2021 14:24:34,Internship,Google,Software Engineer,4067,,,,,
11/18/2021 14:38:53,Fresh Grad,AWS,Solutions Architect,7000,20000,5000,100000,1 month,
11/18/2021 18:17:25,Fresh Grad,DSO,Cyber,5400,,,90000,4 months,
11/18/2021 18:43:12,Internship,Indeed,Software Engineer,2500,,,,,
11/18/2021 19:36:22,Internship,ByteDance,Software Engineer,4000,0,0,,,
11/19/2021 11:58:55,Internship,Visa,Software Engineer,2200,,,,,
11/19/2021 12:45:08,Internship,Thales,Software Engineer,1200,,,,,
11/19/2021 13:03:47,Fresh Grad,ByteDance,Software Engineer,7350,22260,,,1.5 months,
11/19/2021 15:34:38,Fresh Grad,ByteDance,Software Engineer,7200,0,0,86400,1.5 months,quite shit tbh
11/19/2021 23:21:41,Fresh Grad,Ubisoft Singapore,Junior Tools Programmer,5400,,,,not even a month,"impossible salary correction, toxic place, constant gaslighting, stingy HR"
11/20/2021 2:07:22,Fresh Grad,Hodlnaut,Software Engineer,6000,depends on 'performance',0,72000 + variable bonuses (mentioned can't set me a hard number),depends on 'performance',"Has 2 performance review in a year (March and Sept), which is the source for bonuses, salary increment, stock options. Was not willing to give me any more information other than that. Has standard leave benefits, and health benefits (credit bearing lump-sum). Apparently during 3 months probation initial will cut salary to 5700 (might be more or less depending on the interview I think)"
11/20/2021 3:22:17,Fresh Grad,ByteDance,Software Engineer,6800,,,93150,1.5month annual bonus,"Lowball offer, recruiter says company not offering RSU and unwilling to negotiate."
11/20/2021 10:56:34,Fresh Grad,ByteDance,Software Engineer,7000,,,,,Estimate from interview after asking interviewer of expectation. Asked higher than this but was rejected.
11/20/2021 11:41:50,Internship,GIC (GIP),Software Engineer,5600,,,,,
11/20/2021 13:12:55,Fresh Grad,Ninja Van,Software Engineer,5500,24750,nil,,,gonna ipo soon so good time to join
11/20/2021 13:17:16,Internship,Visa,Software Engineer,2200,,,,,6 month internship offer
11/20/2021 14:26:14,Internship,AWS,Solution Architect,3000,,,,,
11/20/2021 17:03:01,Internship,HodInaut,Software Engineer,7500,,,,,Deliveroo corporate account - $150 a week
11/21/2021 11:42:40,Internship,AWS,Solutions Architect,3000,,,,,Summer (May - Aug)
11/22/2021 9:34:06,Internship,Shopee,Product Management Intern,1200,,,,,Summer Intern
11/22/2021 22:29:38,Fresh Grad,Shopee,Software Engineer,6200,52500 USD,0,104000,2 months,they claimed RSUs were rarely given for fresh grads (welp)
11/23/2021 21:55:16,Fresh Grad,Indeed,Software Engineer,95000,50000,10000,,,
11/24/2021 0:04:03,Internship,Visa,Software Engineer,2200,,,,,
11/24/2021 2:34:00,Fresh Grad,Visa,Software Engineer,6200,10000 USD,2500,,10%-20%,
11/27/2021 16:36:43,Fresh Grad,Viki,Software Engineer,5000,,,,10%,
11/27/2021 22:43:32,Internship,Paypal,Infosec Intern,2000,,,,,
11/27/2021 22:43:54,Internship,GIC,Cyber Defence Intern,2500,,,,,
11/29/2021 0:47:26,Fresh Grad,DSTA,Software Engineer,4600+400,,,60000,"1mth AWS, variable: 2mth PB, 2mth",depend on honours
11/29/2021 20:13:09,Internship,Bank of America,Summer Analyst - Global Information Security,5666.67,,,,,Global Information Security
11/30/2021 10:04:24,Internship,Indeed,Software Engineer,5800,,,,,
11/30/2021 10:11:02,Internship,Stealth Startup,Software Engineer,3000,,,,,
11/30/2021 10:11:42,Internship,Visa,Software Engineer,2200,,,,,
11/30/2021 10:12:25,Internship,GovTech,Software Engineer,2500,,,,,
11/30/2021 10:12:50,Internship,IBM,Software Engineer,2000,,,,,
11/30/2021 10:13:41,Internship,GIC,Software Engineer,2500,,,,,
11/30/2021 10:14:19,Internship,PayPal,ML Engineer,2000,,,,,
11/30/2021 10:18:45,Internship,TikTok,Big Data Engineer,3900,,,,,
11/30/2021 15:37:50,Fresh Grad,Virtu Financial,Software Engineer,7000,,10000,80000,,"Transport, lunch, dinner (7pm) covered"
11/30/2021 15:58:44,Fresh Grad,Ubisoft Singapore,Rendering Programmer,3600,0,0,0,5,lowballed HARD bro. You better have passion.
11/30/2021 18:12:41,Internship,Motional,Software Engineer,7500,,,,,
11/30/2021 18:53:39,Fresh Grad,Ubisoft Singapore,Junior Gameplay Programmer,5600,,,,no aws,boring job
12/2/2021 1:23:27,Fresh Grad,PSA,IT Operation Executive,2500,,,,3 Month,
12/2/2021 12:52:31,Internship,Open Government Products,Software Engineer,4500,,,,,
12/3/2021 7:14:50,Internship,Bank of America,Software Engineer,5667,,,,,GMOT
12/3/2021 8:44:31,Internship,Google,Software Engineer,5400,,,,,
12/3/2021 11:18:45,Internship,Trail of Bits,Security Engineer,3424,,,,,"worldwide remote. winter internship, which is 2500usd per project (duration 3-5 weeks, up to the intern)."
12/3/2021 11:20:26,Internship,Continental,Software Security Engineer,1200,,,,,
12/3/2021 11:24:38,Internship,Mandiant,Cyber Threat Intelligence Engineer,1500,,,,,"full-remote, flex hours. possible internal mobility to overseas teams/other adjacent roles even during internship period. nego above stated number possible."
12/4/2021 0:44:49,Fresh Grad,Ubisoft Singapore,Junior Gameplay Programmer,3700,,,,,no future if you dont speak french
